year,month,week_of_month,product_id,product,category,units,revenue
2021,1,1,1066,Timeless Sardines 1982,Timeless Sardines,1,9.0
2021,1,1,1067,Timeless Sardines 1983,Timeless Sardines,1,9.0
2021,1,1,1068,Timeless Sardines 1984,Timeless Sardines,5,45.0
2021,1,1,1069,Timeless Sardines 1985,Timeless Sardines,1,9.0
2021,1,1,1070,Timeless Sardines 1986,Timeless Sardines,3,27.0
2021,1,1,1071,Timeless Sardines 1987,Timeless Sardines,3,27.0
2021,1,1,1072,Timeless Sardines 1988,Timeless Sardines,1,9.0
2021,1,1,1073,Timeless Sardines 1989,Timeless Sardines,2,18.0
2021,1,1,1074,Timeless Sardines 1990,Timeless Sardines,2,18.0
2021,1,1,1075,Timeless Sardines 1991,Timeless Sardines,2,18.0
2021,1,1,1077,Timeless Sardines 1993,Timeless Sardines,2,18.0
2021,1,1,1078,Timeless Sardines 1994,Timeless Sardines,2,18.0
2021,1,1,1080,Timeless Sardines 1996,Timeless Sardines,2,18.0
2021,1,1,1082,Timeless Sardines 1998,Timeless Sardines,1,9.0
2021,1,1,1084,Timeless Sardines 2000,Timeless Sardines,2,18.0
2021,1,1,1085,Timeless Sardines 2001,Timeless Sardines,3,27.0
2021,1,1,1086,Timeless Sardines 2002,Timeless Sardines,5,45.0
2021,1,1,1087,Timeless Sardines 2003,Timeless Sardines,1,9.0
2021,1,1,1088,Timeless Sardines 2004,Timeless Sardines,3,27.0
2021,1,1,1089,Timeless Sardines 2005,Timeless Sardines,1,9.0
2021,1,1,1090,Timeless Sardines 2006,Timeless Sardines,1,9.0
2021,1,1,1093,Timeless Sardines 2009,Timeless Sardines,1,9.0
2021,1,1,1096,Timeless Sardines 2012,Timeless Sardines,1,9.0
2021,1,1,1103,Timeless Sardines 2019,Timeless Sardines,1,9.0
2021,1,1,1104,Timeless Sardines 2020,Timeless Sardines,3,27.0
2021,1,1,1105,Timeless Sardines 2021,Timeless Sardines,4,36.0
2021,1,1,1106,Timeless Sardines 2022,Timeless Sardines,4,36.0
2021,1,1,1107,Timeless Sardines 2023,Timeless Sardines,2,18.0
2021,1,1,1108,Timeless Sardines 2024,Timeless Sardines,3,27.0
2021,1,1,1109,Timeless Sardines 2025,Timeless Sardines,1,9.0
2021,1,1,1110,Timeless Sardines 2026,Timeless Sardines,2,18.0
2021,1,1,1111,Skinless & Boneless Sardines in Virgin Olive Oil,Sardines,173,2595.0
2021,1,1,1112,Small Sardines (Petinga),Sardines,2,15.8
2021,1,1,1113,Sardines with Peppers,Sardines,36,352.8
2021,1,1,1114,Spicy Smoked Sardines,Sardines,54,529.2
2021,1,1,1115,Sardines with Lemon,Sardines,31,303.8
2021,1,1,1116,Sardines in Tomato Sauce,Sardines,30,294.0
2021,1,1,1117,Sardines with Mustard,Sardines,19,216.6
2021,1,1,1118,Sardines with Ketchup,Sardines,1,10.0
2021,1,1,1119,Sardines with Seaweed in Extra Virgin Olive Oil,Sardines,7,89.6
2021,1,1,1121,Lingote (Ingot),Sardines,7,154.0
2021,1,1,1122,Sardines in Brine,Sardines,8,56.0
2021,1,1,1123,Anchovies,Sardines,36,345.6
2021,1,1,1124,Sardines w/ Stuffed Olives | Lisboa,Sardines w/ Stuffed Olives (Cities),26,338.0
2021,1,1,1125,Sardines w/ Stuffed Olives | Porto,Sardines w/ Stuffed Olives (Cities),5,65.0
2021,1,1,1126,Sardines w/ Stuffed Olives | Sintra,Sardines w/ Stuffed Olives (Cities),1,13.0
2021,1,1,1127,Sardines w/ Stuffed Olives | Cascais,Sardines w/ Stuffed Olives (Cities),2,26.0
2021,1,1,1128,Sardines w/ Stuffed Olives | Obidos,Sardines w/ Stuffed Olives (Cities),1,13.0
2021,1,1,1129,Sardines w/ Stuffed Olives | Evora,Sardines w/ Stuffed Olives (Cities),2,26.0
2021,1,1,1131,Sardines w/ Stuffed Olives | Aveiro,Sardines w/ Stuffed Olives (Cities),1,13.0
2021,1,1,1132,Sardines w/ Stuffed Olives | Algarve,Sardines w/ Stuffed Olives (Cities),1,13.0
2021,1,1,1133,Sardines w/ Stuffed Olives | Madeira,Sardines w/ Stuffed Olives (Cities),1,13.0
2021,1,1,1134,Sardines w/ Stuffed Olives | Acores,Sardines w/ Stuffed Olives (Cities),1,13.0
2021,1,1,1135,Horse Mackerel in Extra Virgin Olive Oil,Other Fish & Seafood,6,36.0
2021,1,1,1136,Smoked Mussels in Olive Oil,Other Fish & Seafood,25,195.0
2021,1,1,1137,Tuna in Olive Oil,Other Fish & Seafood,32,284.8
2021,1,1,1138,Fillets with Mustard,Other Fish & Seafood,6,69.6
2021,1,1,1139,Mackerel Fillets in Olive Oil,Other Fish & Seafood,20,186.0
2021,1,1,1140,Smoked Trout in Olive Oil,Other Fish & Seafood,13,126.1
2021,1,1,1141,Squid in Stewed Sauce,Other Fish & Seafood,7,68.6
2021,1,1,1142,Spicy Needlefish in Escabeche,Other Fish & Seafood,3,31.8
2021,1,1,1143,Spicy Needlefish in Extra Virgin Olive Oil,Other Fish & Seafood,8,81.6
2021,1,1,1144,Whelks in Brine,Other Fish & Seafood,8,82.4
2021,1,1,1145,Cod in Olive Oil,Other Fish & Seafood,46,575.0
2021,1,1,1146,Smoked Cod Roe with Vegetables,Other Fish & Seafood,8,98.4
2021,1,1,1147,Baby Cuttlefish,Other Fish & Seafood,2,28.4
2021,1,1,1148,Scabbardfish in Extra Virgin Olive Oil,Other Fish & Seafood,4,54.8
2021,1,1,1149,Smoked Salmon in Olive Oil,Other Fish & Seafood,24,355.2
2021,1,1,1150,Sea Bream in Extra Virgin Olive Oil,Other Fish & Seafood,8,121.6
2021,1,1,1151,Sea Bass in Extra Virgin Olive Oil,Other Fish & Seafood,36,550.8
2021,1,1,1152,Octopus in Extra Virgin Olive Oil,Other Fish & Seafood,82,1295.6
2021,1,1,1153,Shrimp Scampi (Prawns),Other Fish & Seafood,23,414.0
2021,1,1,1154,Meagre in Extra Virgin Olive Oil,Other Fish & Seafood,6,108.0
2021,1,1,1156,Eels in Escabeche,Other Fish & Seafood,3,84.0
2021,1,1,1157,Smoked Eel Fillets in Olive Oil,Other Fish & Seafood,2,68.8
2021,1,1,1159,Spicy Lobster with Seaweed in EVOO,Other Fish & Seafood,1,46.4
2021,1,1,1160,Mackerel Roe,Other Fish & Seafood,1,26.6
2021,1,1,1162,Mackerel Pate,Pates,6,49.8
2021,1,1,1163,Sardine Pate,Pates,9,79.2
2021,1,1,1164,Sardine Pate with Mustard,Pates,2,18.8
2021,1,1,1165,Sardine Pate with Lemon,Pates,5,48.0
2021,1,1,1166,Cod Pate,Pates,17,166.6
2021,1,1,1167,Eel Escabeche Pate,Pates,1,10.8
2021,1,1,1168,Oat Balls with Vegetables,Vegetarian,1,8.8
2021,1,1,1169,Chickpea & Carrot Fritters,Vegetarian,2,19.4
2021,1,1,1170,Portobello Mushroom,Vegetarian,1,12.2
2021,1,1,1171,Sardine Summer Tote Bag,Packaging & Accessories,13,6.5
2021,1,1,1172,TNT Bag,Packaging & Accessories,3,6.0
2021,1,1,1175,Small MFSP Bag,Packaging & Accessories,2,0.4
2021,1,1,1176,Portuguese Sardine Box 8un,Packaging & Accessories,22,0.0
2021,1,1,1177,Pates Box,Packaging & Accessories,3,0.0
2021,1,1,1178,Anchovies Box,Packaging & Accessories,1,0.0
2021,1,1,1179,Comur Survival Kit Box,Packaging & Accessories,1,0.0
2021,1,1,1180,Lingote Box,Packaging & Accessories,1,0.0
2021,1,1,1181,Crazy for Sardines Box,Packaging & Accessories,8,0.0
2021,1,2,1001,Timeless Sardines 1917,Timeless Sardines,1,9.0
2021,1,2,1006,Timeless Sardines 1922,Timeless Sardines,1,9.0
2021,1,2,1009,Timeless Sardines 1925,Timeless Sardines,1,9.0
2021,1,2,1010,Timeless Sardines 1926,Timeless Sardines,3,27.0
2021,1,2,1019,Timeless Sardines 1935,Timeless Sardines,1,9.0
2021,1,2,1021,Timeless Sardines 1937,Timeless Sardines,1,9.0
2021,1,2,1022,Timeless Sardines 1938,Timeless Sardines,1,9.0
2021,1,2,1023,Timeless Sardines 1939,Timeless Sardines,2,18.0
2021,1,2,1035,Timeless Sardines 1951,Timeless Sardines,1,9.0
2021,1,2,1038,Timeless Sardines 1954,Timeless Sardines,2,18.0
2021,1,2,1039,Timeless Sardines 1955,Timeless Sardines,3,27.0
2021,1,2,1040,Timeless Sardines 1956,Timeless Sardines,4,36.0
2021,1,2,1041,Timeless Sardines 1957,Timeless Sardines,1,9.0
2021,1,2,1042,Timeless Sardines 1958,Timeless Sardines,2,18.0
2021,1,2,1043,Timeless Sardines 1959,Timeless Sardines,5,45.0
2021,1,2,1045,Timeless Sardines 1961,Timeless Sardines,4,36.0
2021,1,2,1046,Timeless Sardines 1962,Timeless Sardines,1,9.0
2021,1,2,1048,Timeless Sardines 1964,Timeless Sardines,2,18.0
2021,1,2,1049,Timeless Sardines 1965,Timeless Sardines,2,18.0
2021,1,2,1050,Timeless Sardines 1966,Timeless Sardines,6,54.0
2021,1,2,1051,Timeless Sardines 1967,Timeless Sardines,2,18.0
2021,1,2,1052,Timeless Sardines 1968,Timeless Sardines,1,9.0
2021,1,2,1053,Timeless Sardines 1969,Timeless Sardines,5,45.0
2021,1,2,1054,Timeless Sardines 1970,Timeless Sardines,5,45.0
2021,1,2,1056,Timeless Sardines 1972,Timeless Sardines,1,9.0
2021,1,2,1057,Timeless Sardines 1973,Timeless Sardines,2,18.0
2021,1,2,1058,Timeless Sardines 1974,Timeless Sardines,1,9.0
2021,1,2,1059,Timeless Sardines 1975,Timeless Sardines,1,9.0
2021,1,2,1060,Timeless Sardines 1976,Timeless Sardines,1,9.0
2021,1,2,1061,Timeless Sardines 1977,Timeless Sardines,2,18.0
2021,1,2,1062,Timeless Sardines 1978,Timeless Sardines,3,27.0
2021,1,2,1063,Timeless Sardines 1979,Timeless Sardines,4,36.0
2021,1,2,1065,Timeless Sardines 1981,Timeless Sardines,1,9.0
2021,1,2,1066,Timeless Sardines 1982,Timeless Sardines,4,36.0
2021,1,2,1068,Timeless Sardines 1984,Timeless Sardines,3,27.0
2021,1,2,1069,Timeless Sardines 1985,Timeless Sardines,5,45.0
2021,1,2,1072,Timeless Sardines 1988,Timeless Sardines,1,9.0
2021,1,2,1073,Timeless Sardines 1989,Timeless Sardines,3,27.0
2021,1,2,1074,Timeless Sardines 1990,Timeless Sardines,4,36.0
2021,1,2,1075,Timeless Sardines 1991,Timeless Sardines,2,18.0
2021,1,2,1076,Timeless Sardines 1992,Timeless Sardines,1,9.0
2021,1,2,1077,Timeless Sardines 1993,Timeless Sardines,3,27.0
2021,1,2,1080,Timeless Sardines 1996,Timeless Sardines,2,18.0
2021,1,2,1081,Timeless Sardines 1997,Timeless Sardines,2,18.0
2021,1,2,1082,Timeless Sardines 1998,Timeless Sardines,1,9.0
2021,1,2,1083,Timeless Sardines 1999,Timeless Sardines,2,18.0
2021,1,2,1084,Timeless Sardines 2000,Timeless Sardines,1,9.0
2021,1,2,1085,Timeless Sardines 2001,Timeless Sardines,4,36.0
2021,1,2,1086,Timeless Sardines 2002,Timeless Sardines,4,36.0
2021,1,2,1087,Timeless Sardines 2003,Timeless Sardines,1,9.0
2021,1,2,1089,Timeless Sardines 2005,Timeless Sardines,1,9.0
2021,1,2,1090,Timeless Sardines 2006,Timeless Sardines,1,9.0
2021,1,2,1091,Timeless Sardines 2007,Timeless Sardines,1,9.0
2021,1,2,1092,Timeless Sardines 2008,Timeless Sardines,1,9.0
2021,1,2,1094,Timeless Sardines 2010,Timeless Sardines,1,9.0
2021,1,2,1097,Timeless Sardines 2013,Timeless Sardines,1,9.0
2021,1,2,1104,Timeless Sardines 2020,Timeless Sardines,4,36.0
2021,1,2,1105,Timeless Sardines 2021,Timeless Sardines,2,18.0
2021,1,2,1106,Timeless Sardines 2022,Timeless Sardines,3,27.0
2021,1,2,1107,Timeless Sardines 2023,Timeless Sardines,3,27.0
2021,1,2,1108,Timeless Sardines 2024,Timeless Sardines,2,18.0
2021,1,2,1109,Timeless Sardines 2025,Timeless Sardines,3,27.0
2021,1,2,1110,Timeless Sardines 2026,Timeless Sardines,5,45.0
2021,1,2,1111,Skinless & Boneless Sardines in Virgin Olive Oil,Sardines,157,2355.0
2021,1,2,1112,Small Sardines (Petinga),Sardines,2,15.8
2021,1,2,1113,Sardines with Peppers,Sardines,43,421.4
2021,1,2,1114,Spicy Smoked Sardines,Sardines,41,401.8
2021,1,2,1115,Sardines with Lemon,Sardines,33,323.4
2021,1,2,1116,Sardines in Tomato Sauce,Sardines,33,323.4
2021,1,2,1117,Sardines with Mustard,Sardines,25,285.0
2021,1,2,1118,Sardines with Ketchup,Sardines,2,20.0
2021,1,2,1120,Millesime,Sardines,1,43.3
2021,1,2,1121,Lingote (Ingot),Sardines,9,198.0
2021,1,2,1122,Sardines in Brine,Sardines,9,63.0
2021,1,2,1123,Anchovies,Sardines,42,403.2
2021,1,2,1124,Sardines w/ Stuffed Olives | Lisboa,Sardines w/ Stuffed Olives (Cities),21,273.0
2021,1,2,1125,Sardines w/ Stuffed Olives | Porto,Sardines w/ Stuffed Olives (Cities),2,26.0
2021,1,2,1126,Sardines w/ Stuffed Olives | Sintra,Sardines w/ Stuffed Olives (Cities),3,39.0
2021,1,2,1128,Sardines w/ Stuffed Olives | Obidos,Sardines w/ Stuffed Olives (Cities),1,13.0
2021,1,2,1129,Sardines w/ Stuffed Olives | Evora,Sardines w/ Stuffed Olives (Cities),1,13.0
2021,1,2,1130,Sardines w/ Stuffed Olives | Coimbra,Sardines w/ Stuffed Olives (Cities),1,13.0
2021,1,2,1131,Sardines w/ Stuffed Olives | Aveiro,Sardines w/ Stuffed Olives (Cities),2,26.0
2021,1,2,1135,Horse Mackerel in Extra Virgin Olive Oil,Other Fish & Seafood,5,30.0
2021,1,2,1136,Smoked Mussels in Olive Oil,Other Fish & Seafood,33,257.4
2021,1,2,1137,Tuna in Olive Oil,Other Fish & Seafood,34,302.6
2021,1,2,1138,Fillets with Mustard,Other Fish & Seafood,8,92.8
2021,1,2,1139,Mackerel Fillets in Olive Oil,Other Fish & Seafood,13,120.9
2021,1,2,1140,Smoked Trout in Olive Oil,Other Fish & Seafood,16,155.2
2021,1,2,1141,Squid in Stewed Sauce,Other Fish & Seafood,13,127.4
2021,1,2,1142,Spicy Needlefish in Escabeche,Other Fish & Seafood,4,42.4
2021,1,2,1143,Spicy Needlefish in Extra Virgin Olive Oil,Other Fish & Seafood,3,30.6
2021,1,2,1144,Whelks in Brine,Other Fish & Seafood,9,92.7
2021,1,2,1145,Cod in Olive Oil,Other Fish & Seafood,60,750.0
2021,1,2,1146,Smoked Cod Roe with Vegetables,Other Fish & Seafood,4,49.2
2021,1,2,1148,Scabbardfish in Extra Virgin Olive Oil,Other Fish & Seafood,6,82.2
2021,1,2,1149,Smoked Salmon in Olive Oil,Other Fish & Seafood,24,355.2
2021,1,2,1150,Sea Bream in Extra Virgin Olive Oil,Other Fish & Seafood,8,121.6
2021,1,2,1151,Sea Bass in Extra Virgin Olive Oil,Other Fish & Seafood,18,275.4
2021,1,2,1152,Octopus in Extra Virgin Olive Oil,Other Fish & Seafood,81,1279.8
2021,1,2,1153,Shrimp Scampi (Prawns),Other Fish & Seafood,25,450.0
2021,1,2,1154,Meagre in Extra Virgin Olive Oil,Other Fish & Seafood,8,144.0
2021,1,2,1155,Smoked Sole in Olive Oil,Other Fish & Seafood,3,74.1
2021,1,2,1156,Eels in Escabeche,Other Fish & Seafood,1,28.0
2021,1,2,1157,Smoked Eel Fillets in Olive Oil,Other Fish & Seafood,1,34.4
2021,1,2,1159,Spicy Lobster with Seaweed in EVOO,Other Fish & Seafood,3,139.2
2021,1,2,1160,Mackerel Roe,Other Fish & Seafood,1,26.6
2021,1,2,1162,Mackerel Pate,Pates,3,24.9
2021,1,2,1163,Sardine Pate,Pates,14,123.2
2021,1,2,1164,Sardine Pate with Mustard,Pates,7,65.8
2021,1,2,1165,Sardine Pate with Lemon,Pates,7,67.2
2021,1,2,1166,Cod Pate,Pates,8,78.4
2021,1,2,1167,Eel Escabeche Pate,Pates,1,10.8
2021,1,2,1168,Oat Balls with Vegetables,Vegetarian,2,17.6
2021,1,2,1169,Chickpea & Carrot Fritters,Vegetarian,3,29.1
2021,1,2,1170,Portobello Mushroom,Vegetarian,4,48.8
2021,1,2,1171,Sardine Summer Tote Bag,Packaging & Accessories,5,2.5
2021,1,2,1172,TNT Bag,Packaging & Accessories,1,2.0
2021,1,2,1174,Large Bag COMUR/MFSP,Packaging & Accessories,3,1.5
2021,1,2,1175,Small MFSP Bag,Packaging & Accessories,5,1.0
2021,1,2,1176,Portuguese Sardine Box 8un,Packaging & Accessories,25,0.0
2021,1,2,1177,Pates Box,Packaging & Accessories,4,0.0
2021,1,2,1178,Anchovies Box,Packaging & Accessories,6,0.0
2021,1,2,1179,Comur Survival Kit Box,Packaging & Accessories,2,0.0
2021,1,2,1180,Lingote Box,Packaging & Accessories,1,0.0
2021,1,2,1181,Crazy for Sardines Box,Packaging & Accessories,6,0.0
2021,1,3,1007,Timeless Sardines 1923,Timeless Sardines,1,9.0
2021,1,3,1008,Timeless Sardines 1924,Timeless Sardines,1,9.0
2021,1,3,1012,Timeless Sardines 1928,Timeless Sardines,2,18.0
2021,1,3,1017,Timeless Sardines 1933,Timeless Sardines,1,9.0
2021,1,3,1018,Timeless Sardines 1934,Timeless Sardines,1,9.0
2021,1,3,1021,Timeless Sardines 1937,Timeless Sardines,1,9.0
2021,1,3,1022,Timeless Sardines 1938,Timeless Sardines,2,18.0
2021,1,3,1023,Timeless Sardines 1939,Timeless Sardines,1,9.0
2021,1,3,1026,Timeless Sardines 1942,Timeless Sardines,1,9.0
2021,1,3,1027,Timeless Sardines 1943,Timeless Sardines,1,9.0
2021,1,3,1029,Timeless Sardines 1945,Timeless Sardines,1,9.0
2021,1,3,1033,Timeless Sardines 1949,Timeless Sardines,1,9.0
2021,1,3,1034,Timeless Sardines 1950,Timeless Sardines,2,18.0
2021,1,3,1035,Timeless Sardines 1951,Timeless Sardines,1,9.0
2021,1,3,1036,Timeless Sardines 1952,Timeless Sardines,2,18.0
2021,1,3,1037,Timeless Sardines 1953,Timeless Sardines,1,9.0
2021,1,3,1038,Timeless Sardines 1954,Timeless Sardines,2,18.0
2021,1,3,1040,Timeless Sardines 1956,Timeless Sardines,1,9.0
2021,1,3,1041,Timeless Sardines 1957,Timeless Sardines,1,9.0
2021,1,3,1042,Timeless Sardines 1958,Timeless Sardines,3,27.0
2021,1,3,1043,Timeless Sardines 1959,Timeless Sardines,1,9.0
2021,1,3,1044,Timeless Sardines 1960,Timeless Sardines,3,27.0
2021,1,3,1045,Timeless Sardines 1961,Timeless Sardines,2,18.0
2021,1,3,1048,Timeless Sardines 1964,Timeless Sardines,1,9.0
2021,1,3,1049,Timeless Sardines 1965,Timeless Sardines,2,18.0
2021,1,3,1051,Timeless Sardines 1967,Timeless Sardines,5,45.0
2021,1,3,1053,Timeless Sardines 1969,Timeless Sardines,3,27.0
2021,1,3,1054,Timeless Sardines 1970,Timeless Sardines,3,27.0
2021,1,3,1056,Timeless Sardines 1972,Timeless Sardines,2,18.0
2021,1,3,1058,Timeless Sardines 1974,Timeless Sardines,3,27.0
2021,1,3,1059,Timeless Sardines 1975,Timeless Sardines,1,9.0
2021,1,3,1060,Timeless Sardines 1976,Timeless Sardines,3,27.0
2021,1,3,1061,Timeless Sardines 1977,Timeless Sardines,2,18.0
2021,1,3,1062,Timeless Sardines 1978,Timeless Sardines,2,18.0
2021,1,3,1063,Timeless Sardines 1979,Timeless Sardines,3,27.0
2021,1,3,1065,Timeless Sardines 1981,Timeless Sardines,2,18.0
2021,1,3,1066,Timeless Sardines 1982,Timeless Sardines,4,36.0
2021,1,3,1067,Timeless Sardines 1983,Timeless Sardines,1,9.0
2021,1,3,1068,Timeless Sardines 1984,Timeless Sardines,1,9.0
2021,1,3,1069,Timeless Sardines 1985,Timeless Sardines,1,9.0
2021,1,3,1073,Timeless Sardines 1989,Timeless Sardines,1,9.0
2021,1,3,1076,Timeless Sardines 1992,Timeless Sardines,1,9.0
2021,1,3,1077,Timeless Sardines 1993,Timeless Sardines,5,45.0
2021,1,3,1078,Timeless Sardines 1994,Timeless Sardines,4,36.0
2021,1,3,1079,Timeless Sardines 1995,Timeless Sardines,5,45.0
2021,1,3,1080,Timeless Sardines 1996,Timeless Sardines,1,9.0
2021,1,3,1082,Timeless Sardines 1998,Timeless Sardines,2,18.0
2021,1,3,1083,Timeless Sardines 1999,Timeless Sardines,4,36.0
2021,1,3,1085,Timeless Sardines 2001,Timeless Sardines,2,18.0
2021,1,3,1086,Timeless Sardines 2002,Timeless Sardines,1,9.0
2021,1,3,1087,Timeless Sardines 2003,Timeless Sardines,2,18.0
2021,1,3,1088,Timeless Sardines 2004,Timeless Sardines,1,9.0
2021,1,3,1089,Timeless Sardines 2005,Timeless Sardines,1,9.0
2021,1,3,1092,Timeless Sardines 2008,Timeless Sardines,1,9.0
2021,1,3,1093,Timeless Sardines 2009,Timeless Sardines,1,9.0
2021,1,3,1101,Timeless Sardines 2017,Timeless Sardines,1,9.0
2021,1,3,1102,Timeless Sardines 2018,Timeless Sardines,1,9.0
2021,1,3,1103,Timeless Sardines 2019,Timeless Sardines,1,9.0
2021,1,3,1104,Timeless Sardines 2020,Timeless Sardines,3,27.0
2021,1,3,1105,Timeless Sardines 2021,Timeless Sardines,1,9.0
2021,1,3,1106,Timeless Sardines 2022,Timeless Sardines,3,27.0
2021,1,3,1107,Timeless Sardines 2023,Timeless Sardines,3,27.0
2021,1,3,1108,Timeless Sardines 2024,Timeless Sardines,6,54.0
2021,1,3,1110,Timeless Sardines 2026,Timeless Sardines,1,9.0
2021,1,3,1111,Skinless & Boneless Sardines in Virgin Olive Oil,Sardines,174,2610.0
2021,1,3,1112,Small Sardines (Petinga),Sardines,2,15.8
2021,1,3,1113,Sardines with Peppers,Sardines,39,382.2
2021,1,3,1114,Spicy Smoked Sardines,Sardines,38,372.4
2021,1,3,1115,Sardines with Lemon,Sardines,26,254.8
2021,1,3,1116,Sardines in Tomato Sauce,Sardines,28,274.4
2021,1,3,1117,Sardines with Mustard,Sardines,19,216.6
2021,1,3,1118,Sardines with Ketchup,Sardines,5,50.0
2021,1,3,1119,Sardines with Seaweed in Extra Virgin Olive Oil,Sardines,3,38.4
2021,1,3,1120,Millesime,Sardines,1,43.3
2021,1,3,1121,Lingote (Ingot),Sardines,4,88.0
2021,1,3,1122,Sardines in Brine,Sardines,6,42.0
2021,1,3,1123,Anchovies,Sardines,31,297.6
2021,1,3,1124,Sardines w/ Stuffed Olives | Lisboa,Sardines w/ Stuffed Olives (Cities),15,195.0
2021,1,3,1125,Sardines w/ Stuffed Olives | Porto,Sardines w/ Stuffed Olives (Cities),1,13.0
2021,1,3,1126,Sardines w/ Stuffed Olives | Sintra,Sardines w/ Stuffed Olives (Cities),2,26.0
2021,1,3,1131,Sardines w/ Stuffed Olives | Aveiro,Sardines w/ Stuffed Olives (Cities),3,39.0
2021,1,3,1132,Sardines w/ Stuffed Olives | Algarve,Sardines w/ Stuffed Olives (Cities),3,39.0
2021,1,3,1135,Horse Mackerel in Extra Virgin Olive Oil,Other Fish & Seafood,3,18.0
2021,1,3,1136,Smoked Mussels in Olive Oil,Other Fish & Seafood,24,187.2
2021,1,3,1137,Tuna in Olive Oil,Other Fish & Seafood,36,320.4
2021,1,3,1138,Fillets with Mustard,Other Fish & Seafood,9,104.4
2021,1,3,1139,Mackerel Fillets in Olive Oil,Other Fish & Seafood,15,139.5
2021,1,3,1140,Smoked Trout in Olive Oil,Other Fish & Seafood,10,97.0
2021,1,3,1141,Squid in Stewed Sauce,Other Fish & Seafood,6,58.8
2021,1,3,1142,Spicy Needlefish in Escabeche,Other Fish & Seafood,1,10.6
2021,1,3,1144,Whelks in Brine,Other Fish & Seafood,7,72.1
2021,1,3,1145,Cod in Olive Oil,Other Fish & Seafood,76,950.0
2021,1,3,1146,Smoked Cod Roe with Vegetables,Other Fish & Seafood,7,86.1
2021,1,3,1147,Baby Cuttlefish,Other Fish & Seafood,1,14.2
2021,1,3,1148,Scabbardfish in Extra Virgin Olive Oil,Other Fish & Seafood,5,68.5
2021,1,3,1149,Smoked Salmon in Olive Oil,Other Fish & Seafood,30,444.0
2021,1,3,1150,Sea Bream in Extra Virgin Olive Oil,Other Fish & Seafood,2,30.4
2021,1,3,1151,Sea Bass in Extra Virgin Olive Oil,Other Fish & Seafood,32,489.6
2021,1,3,1152,Octopus in Extra Virgin Olive Oil,Other Fish & Seafood,77,1216.6
2021,1,3,1153,Shrimp Scampi (Prawns),Other Fish & Seafood,25,450.0
