year,month,product_id,product,category,units,revenue
2021,1,1059,Timeless Sardines 1975,Timeless Sardines,6,54.0
2021,1,1060,Timeless Sardines 1976,Timeless Sardines,8,72.0
2021,1,1061,Timeless Sardines 1977,Timeless Sardines,8,72.0
2021,1,1062,Timeless Sardines 1978,Timeless Sardines,7,63.0
2021,1,1063,Timeless Sardines 1979,Timeless Sardines,16,144.0
2021,1,1064,Timeless Sardines 1980,Timeless Sardines,1,9.0
2021,1,1065,Timeless Sardines 1981,Timeless Sardines,7,63.0
2021,1,1066,Timeless Sardines 1982,Timeless Sardines,13,117.0
2021,1,1067,Timeless Sardines 1983,Timeless Sardines,6,54.0
2021,1,1068,Timeless Sardines 1984,Timeless Sardines,11,99.0
2021,1,1069,Timeless Sardines 1985,Timeless Sardines,10,90.0
2021,1,1070,Timeless Sardines 1986,Timeless Sardines,8,72.0
2021,1,1071,Timeless Sardines 1987,Timeless Sardines,6,54.0
2021,1,1072,Timeless Sardines 1988,Timeless Sardines,4,36.0
2021,1,1073,Timeless Sardines 1989,Timeless Sardines,10,90.0
2021,1,1074,Timeless Sardines 1990,Timeless Sardines,8,72.0
2021,1,1075,Timeless Sardines 1991,Timeless Sardines,8,72.0
2021,1,1076,Timeless Sardines 1992,Timeless Sardines,8,72.0
2021,1,1077,Timeless Sardines 1993,Timeless Sardines,13,117.0
2021,1,1078,Timeless Sardines 1994,Timeless Sardines,6,54.0
2021,1,1079,Timeless Sardines 1995,Timeless Sardines,9,81.0
2021,1,1080,Timeless Sardines 1996,Timeless Sardines,10,90.0
2021,1,1081,Timeless Sardines 1997,Timeless Sardines,4,36.0
2021,1,1082,Timeless Sardines 1998,Timeless Sardines,5,45.0
2021,1,1083,Timeless Sardines 1999,Timeless Sardines,7,63.0
2021,1,1084,Timeless Sardines 2000,Timeless Sardines,4,36.0
2021,1,1085,Timeless Sardines 2001,Timeless Sardines,15,135.0
2021,1,1086,Timeless Sardines 2002,Timeless Sardines,14,126.0
2021,1,1087,Timeless Sardines 2003,Timeless Sardines,5,45.0
2021,1,1088,Timeless Sardines 2004,Timeless Sardines,9,81.0
2021,1,1089,Timeless Sardines 2005,Timeless Sardines,8,72.0
2021,1,1090,Timeless Sardines 2006,Timeless Sardines,2,18.0
2021,1,1091,Timeless Sardines 2007,Timeless Sardines,2,18.0
2021,1,1092,Timeless Sardines 2008,Timeless Sardines,2,18.0
2021,1,1093,Timeless Sardines 2009,Timeless Sardines,2,18.0
2021,1,1094,Timeless Sardines 2010,Timeless Sardines,1,9.0
2021,1,1095,Timeless Sardines 2011,Timeless Sardines,1,9.0
2021,1,1096,Timeless Sardines 2012,Timeless Sardines,2,18.0
2021,1,1097,Timeless Sardines 2013,Timeless Sardines,3,27.0
2021,1,1100,Timeless Sardines 2016,Timeless Sardines,1,9.0
2021,1,1101,Timeless Sardines 2017,Timeless Sardines,1,9.0
2021,1,1102,Timeless Sardines 2018,Timeless Sardines,3,27.0
2021,1,1103,Timeless Sardines 2019,Timeless Sardines,4,36.0
2021,1,1104,Timeless Sardines 2020,Timeless Sardines,12,108.0
2021,1,1105,Timeless Sardines 2021,Timeless Sardines,12,108.0
2021,1,1106,Timeless Sardines 2022,Timeless Sardines,14,126.0
2021,1,1107,Timeless Sardines 2023,Timeless Sardines,11,99.0
2021,1,1108,Timeless Sardines 2024,Timeless Sardines,13,117.0
2021,1,1109,Timeless Sardines 2025,Timeless Sardines,9,81.0
2021,1,1110,Timeless Sardines 2026,Timeless Sardines,8,72.0
2021,1,1111,Skinless & Boneless Sardines in Virgin Olive Oil,Sardines,748,11220.0
2021,1,1112,Small Sardines (Petinga),Sardines,10,79.0
2021,1,1113,Sardines with Peppers,Sardines,180,1764.0
2021,1,1114,Spicy Smoked Sardines,Sardines,191,1871.8
2021,1,1115,Sardines with Lemon,Sardines,143,1401.4
2021,1,1116,Sardines in Tomato Sauce,Sardines,122,1195.6
2021,1,1117,Sardines with Mustard,Sardines,103,1174.2
2021,1,1118,Sardines with Ketchup,Sardines,13,130.0
2021,1,1119,Sardines with Seaweed in Extra Virgin Olive Oil,Sardines,16,204.8
2021,1,1120,Millesime,Sardines,3,129.89999999999998
2021,1,1121,Lingote (Ingot),Sardines,30,660.0
2021,1,1122,Sardines in Brine,Sardines,34,238.0
2021,1,1123,Anchovies,Sardines,172,1651.2
2021,1,1124,Sardines w/ Stuffed Olives | Lisboa,Sardines w/ Stuffed Olives (Cities),101,1313.0
2021,1,1125,Sardines w/ Stuffed Olives | Porto,Sardines w/ Stuffed Olives (Cities),10,130.0
2021,1,1126,Sardines w/ Stuffed Olives | Sintra,Sardines w/ Stuffed Olives (Cities),7,91.0
2021,1,1127,Sardines w/ Stuffed Olives | Cascais,Sardines w/ Stuffed Olives (Cities),2,26.0
2021,1,1128,Sardines w/ Stuffed Olives | Obidos,Sardines w/ Stuffed Olives (Cities),5,65.0
2021,1,1129,Sardines w/ Stuffed Olives | Evora,Sardines w/ Stuffed Olives (Cities),6,78.0
2021,1,1130,Sardines w/ Stuffed Olives | Coimbra,Sardines w/ Stuffed Olives (Cities),1,13.0
2021,1,1131,Sardines w/ Stuffed Olives | Aveiro,Sardines w/ Stuffed Olives (Cities),7,91.0
2021,1,1132,Sardines w/ Stuffed Olives | Algarve,Sardines w/ Stuffed Olives (Cities),6,78.0
2021,1,1133,Sardines w/ Stuffed Olives | Madeira,Sardines w/ Stuffed Olives (Cities),4,52.0
2021,1,1134,Sardines w/ Stuffed Olives | Acores,Sardines w/ Stuffed Olives (Cities),1,13.0
2021,1,1135,Horse Mackerel in Extra Virgin Olive Oil,Other Fish & Seafood,18,108.0
2021,1,1136,Smoked Mussels in Olive Oil,Other Fish & Seafood,114,889.2
2021,1,1137,Tuna in Olive Oil,Other Fish & Seafood,144,1281.6
2021,1,1138,Fillets with Mustard,Other Fish & Seafood,40,464.0
2021,1,1139,Mackerel Fillets in Olive Oil,Other Fish & Seafood,70,651.0
2021,1,1140,Smoked Trout in Olive Oil,Other Fish & Seafood,56,543.2
2021,1,1141,Squid in Stewed Sauce,Other Fish & Seafood,36,352.8
2021,1,1142,Spicy Needlefish in Escabeche,Other Fish & Seafood,12,127.2
2021,1,1143,Spicy Needlefish in Extra Virgin Olive Oil,Other Fish & Seafood,17,173.39999999999998
2021,1,1144,Whelks in Brine,Other Fish & Seafood,35,360.5
2021,1,1145,Cod in Olive Oil,Other Fish & Seafood,294,3675.0
2021,1,1146,Smoked Cod Roe with Vegetables,Other Fish & Seafood,26,319.8
2021,1,1147,Baby Cuttlefish,Other Fish & Seafood,10,142.0
2021,1,1148,Scabbardfish in Extra Virgin Olive Oil,Other Fish & Seafood,22,301.4
2021,1,1149,Smoked Salmon in Olive Oil,Other Fish & Seafood,119,1761.2
2021,1,1150,Sea Bream in Extra Virgin Olive Oil,Other Fish & Seafood,27,410.4
2021,1,1151,Sea Bass in Extra Virgin Olive Oil,Other Fish & Seafood,135,2065.5
2021,1,1152,Octopus in Extra Virgin Olive Oil,Other Fish & Seafood,341,5387.8
2021,1,1153,Shrimp Scampi (Prawns),Other Fish & Seafood,118,2124.0
2021,1,1154,Meagre in Extra Virgin Olive Oil,Other Fish & Seafood,32,576.0
2021,1,1155,Smoked Sole in Olive Oil,Other Fish & Seafood,3,74.1
2021,1,1156,Eels in Escabeche,Other Fish & Seafood,8,224.0
2021,1,1157,Smoked Eel Fillets in Olive Oil,Other Fish & Seafood,4,137.6
2021,1,1159,Spicy Lobster with Seaweed in EVOO,Other Fish & Seafood,15,696.0
2021,1,1160,Mackerel Roe,Other Fish & Seafood,3,79.80000000000001
2021,1,1162,Mackerel Pate,Pates,18,149.4
2021,1,1163,Sardine Pate,Pates,46,404.8
2021,1,1164,Sardine Pate with Mustard,Pates,19,178.60000000000002
2021,1,1165,Sardine Pate with Lemon,Pates,27,259.2
2021,1,1166,Cod Pate,Pates,59,578.2
2021,1,1167,Eel Escabeche Pate,Pates,13,140.4
2021,1,1168,Oat Balls with Vegetables,Vegetarian,11,96.8
2021,1,1169,Chickpea & Carrot Fritters,Vegetarian,13,126.1
2021,1,1170,Portobello Mushroom,Vegetarian,12,146.39999999999998
2021,1,1171,Sardine Summer Tote Bag,Packaging & Accessories,41,20.5
2021,1,1172,TNT Bag,Packaging & Accessories,11,22.0
2021,1,1173,COMUR Net Bag,Packaging & Accessories,2,40.0
2021,1,1174,Large Bag COMUR/MFSP,Packaging & Accessories,8,4.0
2021,1,1175,Small MFSP Bag,Packaging & Accessories,20,4.0
2021,1,1176,Portuguese Sardine Box 8un,Packaging & Accessories,108,0.0
2021,1,1177,Pates Box,Packaging & Accessories,10,0.0
2021,1,1178,Anchovies Box,Packaging & Accessories,23,0.0
2021,1,1179,Comur Survival Kit Box,Packaging & Accessories,7,0.0
2021,1,1180,Lingote Box,Packaging & Accessories,4,0.0
2021,1,1181,Crazy for Sardines Box,Packaging & Accessories,36,0.0
2021,2,1000,Timeless Sardines 1916,Timeless Sardines,2,18.0
2021,2,1001,Timeless Sardines 1917,Timeless Sardines,6,54.0
2021,2,1002,Timeless Sardines 1918,Timeless Sardines,2,18.0
2021,2,1003,Timeless Sardines 1919,Timeless Sardines,1,9.0
2021,2,1004,Timeless Sardines 1920,Timeless Sardines,6,54.0
2021,2,1005,Timeless Sardines 1921,Timeless Sardines,2,18.0
2021,2,1006,Timeless Sardines 1922,Timeless Sardines,3,27.0
2021,2,1007,Timeless Sardines 1923,Timeless Sardines,2,18.0
2021,2,1009,Timeless Sardines 1925,Timeless Sardines,4,36.0
2021,2,1010,Timeless Sardines 1926,Timeless Sardines,1,9.0
2021,2,1011,Timeless Sardines 1927,Timeless Sardines,3,27.0
2021,2,1012,Timeless Sardines 1928,Timeless Sardines,2,18.0
2021,2,1013,Timeless Sardines 1929,Timeless Sardines,5,45.0
2021,2,1014,Timeless Sardines 1930,Timeless Sardines,5,45.0
2021,2,1015,Timeless Sardines 1931,Timeless Sardines,4,36.0
2021,2,1016,Timeless Sardines 1932,Timeless Sardines,4,36.0
2021,2,1017,Timeless Sardines 1933,Timeless Sardines,4,36.0
2021,2,1018,Timeless Sardines 1934,Timeless Sardines,2,18.0
2021,2,1019,Timeless Sardines 1935,Timeless Sardines,2,18.0
2021,2,1020,Timeless Sardines 1936,Timeless Sardines,3,27.0
2021,2,1021,Timeless Sardines 1937,Timeless Sardines,2,18.0
2021,2,1022,Timeless Sardines 1938,Timeless Sardines,3,27.0
2021,2,1023,Timeless Sardines 1939,Timeless Sardines,5,45.0
2021,2,1024,Timeless Sardines 1940,Timeless Sardines,2,18.0
2021,2,1025,Timeless Sardines 1941,Timeless Sardines,2,18.0
2021,2,1026,Timeless Sardines 1942,Timeless Sardines,1,9.0
2021,2,1027,Timeless Sardines 1943,Timeless Sardines,3,27.0
2021,2,1028,Timeless Sardines 1944,Timeless Sardines,4,36.0
2021,2,1029,Timeless Sardines 1945,Timeless Sardines,1,9.0
2021,2,1031,Timeless Sardines 1947,Timeless Sardines,3,27.0
2021,2,1032,Timeless Sardines 1948,Timeless Sardines,1,9.0
2021,2,1033,Timeless Sardines 1949,Timeless Sardines,2,18.0
2021,2,1034,Timeless Sardines 1950,Timeless Sardines,7,63.0
2021,2,1035,Timeless Sardines 1951,Timeless Sardines,9,81.0
2021,2,1036,Timeless Sardines 1952,Timeless Sardines,9,81.0
2021,2,1037,Timeless Sardines 1953,Timeless Sardines,9,81.0
2021,2,1038,Timeless Sardines 1954,Timeless Sardines,12,108.0
2021,2,1039,Timeless Sardines 1955,Timeless Sardines,8,72.0
2021,2,1040,Timeless Sardines 1956,Timeless Sardines,12,108.0
2021,2,1041,Timeless Sardines 1957,Timeless Sardines,4,36.0
2021,2,1042,Timeless Sardines 1958,Timeless Sardines,6,54.0
2021,2,1043,Timeless Sardines 1959,Timeless Sardines,9,81.0
2021,2,1044,Timeless Sardines 1960,Timeless Sardines,14,126.0
2021,2,1045,Timeless Sardines 1961,Timeless Sardines,4,36.0
2021,2,1046,Timeless Sardines 1962,Timeless Sardines,6,54.0
2021,2,1047,Timeless Sardines 1963,Timeless Sardines,7,63.0
2021,2,1048,Timeless Sardines 1964,Timeless Sardines,13,117.0
2021,2,1049,Timeless Sardines 1965,Timeless Sardines,6,54.0
2021,2,1050,Timeless Sardines 1966,Timeless Sardines,7,63.0
2021,2,1051,Timeless Sardines 1967,Timeless Sardines,10,90.0
2021,2,1052,Timeless Sardines 1968,Timeless Sardines,9,81.0
2021,2,1053,Timeless Sardines 1969,Timeless Sardines,10,90.0
2021,2,1054,Timeless Sardines 1970,Timeless Sardines,8,72.0
2021,2,1055,Timeless Sardines 1971,Timeless Sardines,8,72.0
2021,2,1056,Timeless Sardines 1972,Timeless Sardines,10,90.0
2021,2,1057,Timeless Sardines 1973,Timeless Sardines,12,108.0
2021,2,1058,Timeless Sardines 1974,Timeless Sardines,13,117.0
2021,2,1059,Timeless Sardines 1975,Timeless Sardines,12,108.0
2021,2,1060,Timeless Sardines 1976,Timeless Sardines,6,54.0
2021,2,1061,Timeless Sardines 1977,Timeless Sardines,5,45.0
2021,2,1062,Timeless Sardines 1978,Timeless Sardines,7,63.0
2021,2,1063,Timeless Sardines 1979,Timeless Sardines,7,63.0
2021,2,1064,Timeless Sardines 1980,Timeless Sardines,10,90.0
2021,2,1065,Timeless Sardines 1981,Timeless Sardines,10,90.0
2021,2,1066,Timeless Sardines 1982,Timeless Sardines,11,99.0
2021,2,1067,Timeless Sardines 1983,Timeless Sardines,9,81.0
2021,2,1068,Timeless Sardines 1984,Timeless Sardines,12,108.0
2021,2,1069,Timeless Sardines 1985,Timeless Sardines,10,90.0
2021,2,1070,Timeless Sardines 1986,Timeless Sardines,8,72.0
2021,2,1071,Timeless Sardines 1987,Timeless Sardines,4,36.0
2021,2,1072,Timeless Sardines 1988,Timeless Sardines,10,90.0
2021,2,1073,Timeless Sardines 1989,Timeless Sardines,9,81.0
2021,2,1074,Timeless Sardines 1990,Timeless Sardines,11,99.0
2021,2,1075,Timeless Sardines 1991,Timeless Sardines,6,54.0
2021,2,1076,Timeless Sardines 1992,Timeless Sardines,4,36.0
2021,2,1077,Timeless Sardines 1993,Timeless Sardines,8,72.0
2021,2,1078,Timeless Sardines 1994,Timeless Sardines,4,36.0
2021,2,1079,Timeless Sardines 1995,Timeless Sardines,6,54.0
2021,2,1080,Timeless Sardines 1996,Timeless Sardines,4,36.0
2021,2,1081,Timeless Sardines 1997,Timeless Sardines,7,63.0
2021,2,1082,Timeless Sardines 1998,Timeless Sardines,6,54.0
2021,2,1083,Timeless Sardines 1999,Timeless Sardines,2,18.0
2021,2,1084,Timeless Sardines 2000,Timeless Sardines,7,63.0
2021,2,1085,Timeless Sardines 2001,Timeless Sardines,10,90.0
2021,2,1086,Timeless Sardines 2002,Timeless Sardines,9,81.0
2021,2,1087,Timeless Sardines 2003,Timeless Sardines,9,81.0
2021,2,1088,Timeless Sardines 2004,Timeless Sardines,7,63.0
2021,2,1089,Timeless Sardines 2005,Timeless Sardines,11,99.0
2021,2,1090,Timeless Sardines 2006,Timeless Sardines,1,9.0
2021,2,1091,Timeless Sardines 2007,Timeless Sardines,2,18.0
2021,2,1093,Timeless Sardines 2009,Timeless Sardines,3,27.0
2021,2,1094,Timeless Sardines 2010,Timeless Sardines,1,9.0
2021,2,1095,Timeless Sardines 2011,Timeless Sardines,2,18.0
2021,2,1096,Timeless Sardines 2012,Timeless Sardines,1,9.0
2021,2,1097,Timeless Sardines 2013,Timeless Sardines,2,18.0
2021,2,1099,Timeless Sardines 2015,Timeless Sardines,2,18.0
2021,2,1100,Timeless Sardines 2016,Timeless Sardines,2,18.0
2021,2,1101,Timeless Sardines 2017,Timeless Sardines,4,36.0
2021,2,1102,Timeless Sardines 2018,Timeless Sardines,2,18.0
2021,2,1103,Timeless Sardines 2019,Timeless Sardines,3,27.0
2021,2,1104,Timeless Sardines 2020,Timeless Sardines,9,81.0
2021,2,1105,Timeless Sardines 2021,Timeless Sardines,10,90.0
2021,2,1106,Timeless Sardines 2022,Timeless Sardines,6,54.0
2021,2,1107,Timeless Sardines 2023,Timeless Sardines,9,81.0
2021,2,1108,Timeless Sardines 2024,Timeless Sardines,14,126.0
2021,2,1109,Timeless Sardines 2025,Timeless Sardines,11,99.0
2021,2,1110,Timeless Sardines 2026,Timeless Sardines,12,108.0
2021,2,1111,Skinless & Boneless Sardines in Virgin Olive Oil,Sardines,640,9600.0
2021,2,1112,Small Sardines (Petinga),Sardines,19,150.1
2021,2,1113,Sardines with Peppers,Sardines,145,1421.0
2021,2,1114,Spicy Smoked Sardines,Sardines,145,1421.0
2021,2,1115,Sardines with Lemon,Sardines,112,1097.6
2021,2,1116,Sardines in Tomato Sauce,Sardines,129,1264.2
2021,2,1117,Sardines with Mustard,Sardines,111,1265.4
2021,2,1118,Sardines with Ketchup,Sardines,10,100.0
2021,2,1119,Sardines with Seaweed in Extra Virgin Olive Oil,Sardines,11,140.8
2021,2,1120,Millesime,Sardines,1,43.3
2021,2,1121,Lingote (Ingot),Sardines,22,484.0
2021,2,1122,Sardines in Brine,Sardines,20,140.0
2021,2,1123,Anchovies,Sardines,141,1353.6
2021,2,1124,Sardines w/ Stuffed Olives | Lisboa,Sardines w/ Stuffed Olives (Cities),91,1183.0
2021,2,1125,Sardines w/ Stuffed Olives | Porto,Sardines w/ Stuffed Olives (Cities),9,117.0
2021,2,1126,Sardines w/ Stuffed Olives | Sintra,Sardines w/ Stuffed Olives (Cities),12,156.0
2021,2,1127,Sardines w/ Stuffed Olives | Cascais,Sardines w/ Stuffed Olives (Cities),6,78.0
2021,2,1128,Sardines w/ Stuffed Olives | Obidos,Sardines w/ Stuffed Olives (Cities),6,78.0
2021,2,1129,Sardines w/ Stuffed Olives | Evora,Sardines w/ Stuffed Olives (Cities),4,52.0
2021,2,1130,Sardines w/ Stuffed Olives | Coimbra,Sardines w/ Stuffed Olives (Cities),10,130.0
2021,2,1131,Sardines w/ Stuffed Olives | Aveiro,Sardines w/ Stuffed Olives (Cities),6,78.0
2021,2,1132,Sardines w/ Stuffed Olives | Algarve,Sardines w/ Stuffed Olives (Cities),7,91.0
2021,2,1133,Sardines w/ Stuffed Olives | Madeira,Sardines w/ Stuffed Olives (Cities),3,39.0
2021,2,1134,Sardines w/ Stuffed Olives | Acores,Sardines w/ Stuffed Olives (Cities),7,91.0
2021,2,1135,Horse Mackerel in Extra Virgin Olive Oil,Other Fish & Seafood,12,72.0
2021,2,1136,Smoked Mussels in Olive Oil,Other Fish & Seafood,106,826.8
2021,2,1137,Tuna in Olive Oil,Other Fish & Seafood,125,1112.5
2021,2,1138,Fillets with Mustard,Other Fish & Seafood,31,359.6
2021,2,1139,Mackerel Fillets in Olive Oil,Other Fish & Seafood,62,576.6
2021,2,1140,Smoked Trout in Olive Oil,Other Fish & Seafood,49,475.3
2021,2,1141,Squid in Stewed Sauce,Other Fish & Seafood,34,333.20000000000005
2021,2,1142,Spicy Needlefish in Escabeche,Other Fish & Seafood,13,137.8
2021,2,1143,Spicy Needlefish in Extra Virgin Olive Oil,Other Fish & Seafood,13,132.6
2021,2,1144,Whelks in Brine,Other Fish & Seafood,23,236.9
2021,2,1145,Cod in Olive Oil,Other Fish & Seafood,266,3325.0
2021,2,1146,Smoked Cod Roe with Vegetables,Other Fish & Seafood,20,246.0
2021,2,1147,Baby Cuttlefish,Other Fish & Seafood,17,241.4
2021,2,1148,Scabbardfish in Extra Virgin Olive Oil,Other Fish & Seafood,16,219.2
2021,2,1149,Smoked Salmon in Olive Oil,Other Fish & Seafood,103,1524.4
2021,2,1150,Sea Bream in Extra Virgin Olive Oil,Other Fish & Seafood,21,319.2
2021,2,1151,Sea Bass in Extra Virgin Olive Oil,Other Fish & Seafood,111,1698.3
2021,2,1152,Octopus in Extra Virgin Olive Oil,Other Fish & Seafood,302,4771.6
2021,2,1153,Shrimp Scampi (Prawns),Other Fish & Seafood,107,1926.0
2021,2,1154,Meagre in Extra Virgin Olive Oil,Other Fish & Seafood,25,450.0
2021,2,1155,Smoked Sole in Olive Oil,Other Fish & Seafood,6,148.2
2021,2,1156,Eels in Escabeche,Other Fish & Seafood,6,168.0
2021,2,1157,Smoked Eel Fillets in Olive Oil,Other Fish & Seafood,7,240.8
2021,2,1158,King Crab,Other Fish & Seafood,6,505.8
2021,2,1159,Spicy Lobster with Seaweed in EVOO,Other Fish & Seafood,8,371.2
2021,2,1160,Mackerel Roe,Other Fish & Seafood,3,79.80000000000001
2021,2,1161,Sardine Roe,Other Fish & Seafood,1,47.6
2021,2,1162,Mackerel Pate,Pates,16,132.8
2021,2,1163,Sardine Pate,Pates,35,308.0
2021,2,1164,Sardine Pate with Mustard,Pates,19,178.6
2021,2,1165,Sardine Pate with Lemon,Pates,16,153.6
2021,2,1166,Cod Pate,Pates,40,392.0
2021,2,1167,Eel Escabeche Pate,Pates,9,97.2
2021,2,1168,Oat Balls with Vegetables,Vegetarian,14,123.20000000000002
2021,2,1169,Chickpea & Carrot Fritters,Vegetarian,13,126.1
2021,2,1170,Portobello Mushroom,Vegetarian,13,158.6
2021,2,1171,Sardine Summer Tote Bag,Packaging & Accessories,43,21.5
2021,2,1172,TNT Bag,Packaging & Accessories,9,18.0
2021,2,1173,COMUR Net Bag,Packaging & Accessories,2,40.0
2021,2,1174,Large Bag COMUR/MFSP,Packaging & Accessories,8,4.0
2021,2,1175,Small MFSP Bag,Packaging & Accessories,16,3.2
2021,2,1176,Portuguese Sardine Box 8un,Packaging & Accessories,93,0.0
2021,2,1177,Pates Box,Packaging & Accessories,3,0.0
2021,2,1178,Anchovies Box,Packaging & Accessories,22,0.0
2021,2,1179,Comur Survival Kit Box,Packaging & Accessories,6,0.0
2021,2,1180,Lingote Box,Packaging & Accessories,3,0.0
2021,2,1181,Crazy for Sardines Box,Packaging & Accessories,35,0.0
2021,3,1000,Timeless Sardines 1916,Timeless Sardines,5,45.0
2021,3,1001,Timeless Sardines 1917,Timeless Sardines,2,18.0
2021,3,1002,Timeless Sardines 1918,Timeless Sardines,3,27.0
2021,3,1004,Timeless Sardines 1920,Timeless Sardines,2,18.0
2021,3,1005,Timeless Sardines 1921,Timeless Sardines,2,18.0
2021,3,1006,Timeless Sardines 1922,Timeless Sardines,2,18.0
2021,3,1007,Timeless Sardines 1923,Timeless Sardines,2,18.0
2021,3,1008,Timeless Sardines 1924,Timeless Sardines,2,18.0
2021,3,1009,Timeless Sardines 1925,Timeless Sardines,3,27.0
2021,3,1010,Timeless Sardines 1926,Timeless Sardines,2,18.0
2021,3,1011,Timeless Sardines 1927,Timeless Sardines,1,9.0
2021,3,1012,Timeless Sardines 1928,Timeless Sardines,4,36.0
2021,3,1014,Timeless Sardines 1930,Timeless Sardines,1,9.0
2021,3,1015,Timeless Sardines 1931,Timeless Sardines,1,9.0
2021,3,1016,Timeless Sardines 1932,Timeless Sardines,3,27.0
2021,3,1017,Timeless Sardines 1933,Timeless Sardines,5,45.0
2021,3,1018,Timeless Sardines 1934,Timeless Sardines,2,18.0
2021,3,1019,Timeless Sardines 1935,Timeless Sardines,2,18.0
2021,3,1020,Timeless Sardines 1936,Timeless Sardines,1,9.0
2021,3,1021,Timeless Sardines 1937,Timeless Sardines,4,36.0
2021,3,1022,Timeless Sardines 1938,Timeless Sardines,2,18.0
2021,3,1023,Timeless Sardines 1939,Timeless Sardines,3,27.0
2021,3,1024,Timeless Sardines 1940,Timeless Sardines,1,9.0
2021,3,1025,Timeless Sardines 1941,Timeless Sardines,1,9.0
2021,3,1026,Timeless Sardines 1942,Timeless Sardines,2,18.0
2021,3,1027,Timeless Sardines 1943,Timeless Sardines,2,18.0
2021,3,1028,Timeless Sardines 1944,Timeless Sardines,1,9.0
2021,3,1029,Timeless Sardines 1945,Timeless Sardines,1,9.0
2021,3,1030,Timeless Sardines 1946,Timeless Sardines,3,27.0
2021,3,1031,Timeless Sardines 1947,Timeless Sardines,3,27.0
